lon,lat
39.80025,-69.181166487
39.80475,-69.181166487
39.80925,-69.181166487
39.81375,-69.181166487
39.81825,-69.181166487
39.82275,-69.181166487
39.82725,-69.181166487
39.83175,-69.181166487
39.83625,-69.181166487
39.84075,-69.181166487
39.84525,-69.181166487
39.84975,-69.181166487
39.78225,-69.185666487
39.78675,-69.185666487
39.79125,-69.185666487
39.79575,-69.185666487
39.80025,-69.185666487
39.80475,-69.185666487
39.80925,-69.185666487
39.81375,-69.185666487
39.81825,-69.185666487
39.82275,-69.185666487
39.82725,-69.185666487
39.83175,-69.185666487
39.83625,-69.185666487
39.84075,-69.185666487
39.84525,-69.185666487
39.84975,-69.185666487
39.85425,-69.185666487
39.85875,-69.185666487
39.86325,-69.185666487
39.74625,-69.190166487
39.75075,-69.190166487
39.75525,-69.190166487
39.75975,-69.190166487
39.76425,-69.190166487
39.76875,-69.190166487
39.77325,-69.190166487
39.77775,-69.190166487
39.78225,-69.190166487
39.78675,-69.190166487
39.79125,-69.190166487
39.79575,-69.190166487
39.80025,-69.190166487
39.80475,-69.190166487
39.80925,-69.190166487
39.81375,-69.190166487
39.81825,-69.190166487
39.82275,-69.190166487
39.82725,-69.190166487
39.83175,-69.190166487
39.83625,-69.190166487
39.84075,-69.190166487
39.84525,-69.190166487
39.84975,-69.190166487
39.85425,-69.190166487
39.85875,-69.190166487
39.86325,-69.190166487
39.74625,-69.194666487
39.75075,-69.194666487
39.75525,-69.194666487
39.75975,-69.194666487
39.76425,-69.194666487
39.76875,-69.194666487
39.77325,-69.194666487
39.77775,-69.194666487
39.78225,-69.194666487
39.78675,-69.194666487
39.79125,-69.194666487
39.79575,-69.194666487
39.80025,-69.194666487
39.80475,-69.194666487
39.80925,-69.194666487
39.81375,-69.194666487
39.81825,-69.194666487
39.82275,-69.194666487
39.82725,-69.194666487
39.83175,-69.194666487
39.83625,-69.194666487
39.84075,-69.194666487
39.84525,-69.194666487
39.84975,-69.194666487
39.85425,-69.194666487
39.85875,-69.194666487
39.86325,-69.194666487
39.75075,-69.199166487
39.75525,-69.199166487
39.75975,-69.199166487
39.76425,-69.199166487
39.76875,-69.199166487
39.77325,-69.199166487
