lon,lat
38.66625,-69.991166487
38.67075,-69.991166487
38.67525,-69.991166487
38.67975,-69.991166487
38.68425,-69.991166487
38.68875,-69.991166487
38.69325,-69.991166487
38.69775,-69.991166487
38.70225,-69.991166487
38.70675,-69.991166487
38.71125,-69.991166487
38.71575,-69.991166487
38.72025,-69.991166487
38.72475,-69.991166487
38.72925,-69.991166487
38.73375,-69.991166487
38.73825,-69.991166487
38.74275,-69.991166487
38.74725,-69.991166487
38.75175,-69.991166487
38.75625,-69.991166487
38.76075,-69.991166487
38.76525,-69.991166487
38.76975,-69.991166487
38.77425,-69.991166487
38.54025,-69.995666487
38.54475,-69.995666487
38.54925,-69.995666487
38.55375,-69.995666487
38.55825,-69.995666487
38.56275,-69.995666487
38.56725,-69.995666487
38.57175,-69.995666487
38.57625,-69.995666487
38.58075,-69.995666487
38.58525,-69.995666487
38.58975,-69.995666487
38.59425,-69.995666487
38.59875,-69.995666487
38.60325,-69.995666487
38.60775,-69.995666487
38.61225,-69.995666487
38.61675,-69.995666487
38.62125,-69.995666487
38.62575,-69.995666487
38.63025,-69.995666487
38.63475,-69.995666487
38.63925,-69.995666487
38.64375,-69.995666487
38.64825,-69.995666487
38.65275,-69.995666487
38.65725,-69.995666487
38.66175,-69.995666487
38.66625,-69.995666487
38.67075,-69.995666487
38.67525,-69.995666487
38.67975,-69.995666487
38.68425,-69.995666487
38.68875,-69.995666487
38.69325,-69.995666487
38.69775,-69.995666487
38.70225,-69.995666487
38.70675,-69.995666487
38.71125,-69.995666487
38.71575,-69.995666487
38.72025,-69.995666487
38.72475,-69.995666487
38.72925,-69.995666487
38.73375,-69.995666487
38.73825,-69.995666487
38.74275,-69.995666487
38.74725,-69.995666487
38.75175,-69.995666487
38.75625,-69.995666487
38.76075,-69.995666487
38.76525,-69.995666487
38.76975,-69.995666487
38.77425,-69.995666487
38.43225,-70.000166487
38.43675,-70.000166487
38.44125,-70.000166487
38.44575,-70.000166487
38.45025,-70.000166487
38.45475,-70.000166487
38.45925,-70.000166487
38.46375,-70.000166487
38.46825,-70.000166487
38.47275,-70.000166487
38.47725,-70.000166487
38.48175,-70.000166487
38.48625,-70.000166487
38.49075,-70.000166487
38.49525,-70.000166487
38.49975,-70.000166487
38.50425,-70.000166487
38.50875,-70.000166487
38.51325,-70.000166487
38.51775,-70.000166487
38.52225,-70.000166487
38.52675,-70.000166487
38.53125,-70.000166487
38.53575,-70.000166487
38.54025,-70.000166487
38.54475,-70.000166487
38.54925,-70.000166487
38.55375,-70.000166487
38.55825,-70.000166487
38.56275,-70.000166487
38.56725,-70.000166487
38.57175,-70.000166487
38.57625,-70.000166487
38.58075,-70.000166487
38.58525,-70.000166487
38.58975,-70.000166487
38.59425,-70.000166487
38.59875,-70.000166487
38.60325,-70.000166487
38.60775,-70.000166487
38.61225,-70.000166487
38.61675,-70.000166487
38.62125,-70.000166487
38.62575,-70.000166487
38.63025,-70.000166487
38.63475,-70.000166487
38.63925,-70.000166487
38.64375,-70.000166487
38.64825,-70.000166487
38.65275,-70.000166487
38.65725,-70.000166487
38.66175,-70.000166487
38.66625,-70.000166487
38.67075,-70.000166487
38.67525,-70.000166487
38.67975,-70.000166487
38.68425,-70.000166487
38.68875,-70.000166487
38.69325,-70.000166487
38.69775,-70.000166487
38.70225,-70.000166487
38.70675,-70.000166487
38.71125,-70.000166487
38.71575,-70.000166487
38.72025,-70.000166487
38.72475,-70.000166487
38.72925,-70.000166487
38.73375,-70.000166487
38.73825,-70.000166487
38.74275,-70.000166487
38.74725,-70.000166487
38.75175,-70.000166487
38.75625,-70.000166487
38.76075,-70.000166487
38.76525,-70.000166487
38.76975,-70.000166487
38.77425,-70.000166487
38.43225,-70.004666487
38.43675,-70.004666487
38.44125,-70.004666487
38.44575,-70.004666487
38.45025,-70.004666487
38.45475,-70.004666487
38.45925,-70.004666487
38.46375,-70.004666487
38.46825,-70.004666487
38.47275,-70.004666487
38.47725,-70.004666487
38.48175,-70.004666487
38.48625,-70.004666487
38.49075,-70.004666487
38.49525,-70.004666487
38.49975,-70.004666487
38.50425,-70.004666487
38.50875,-70.004666487
38.51325,-70.004666487
38.51775,-70.004666487
38.52225,-70.004666487
38.52675,-70.004666487
38.53125,-70.004666487
38.53575,-70.004666487
38.54025,-70.004666487
38.54475,-70.004666487
38.54925,-70.004666487
38.55375,-70.004666487
38.55825,-70.004666487
38.56275,-70.004666487
38.56725,-70.004666487
38.57175,-70.004666487
38.57625,-70.004666487
38.58075,-70.004666487
38.58525,-70.004666487
38.58975,-70.004666487
38.59425,-70.004666487
38.59875,-70.004666487
38.60325,-70.004666487
38.60775,-70.004666487
38.61225,-70.004666487
38.61675,-70.004666487
38.62125,-70.004666487
38.62575,-70.004666487
38.63025,-70.004666487
38.63475,-70.004666487
38.63925,-70.004666487
38.64375,-70.004666487
38.64825,-70.004666487
38.65275,-70.004666487
38.65725,-70.004666487
38.66175,-70.004666487
38.66625,-70.004666487
38.67075,-70.004666487
38.67525,-70.004666487
38.67975,-70.004666487
38.68425,-70.004666487
38.68875,-70.004666487
38.69325,-70.004666487
38.69775,-70.004666487
38.70225,-70.004666487
38.70675,-70.004666487
38.71125,-70.004666487
38.71575,-70.004666487
38.72025,-70.004666487
38.72475,-70.004666487
38.72925,-70.004666487
38.73375,-70.004666487
38.73825,-70.004666487
