lon,lat
38.82825,-70.1396664869997
38.83275,-70.1396664869997
38.83725,-70.1396664869997
38.84175,-70.1396664869997
38.84625,-70.1396664869997
38.85075,-70.1396664869997
38.85525,-70.1396664869997
38.85975,-70.1396664869997
38.86425,-70.1396664869997
38.86875,-70.1396664869997
38.87325,-70.1396664869997
38.87775,-70.1396664869997
38.88225,-70.1396664869997
38.88675,-70.1396664869997
38.89125,-70.1396664869997
38.89575,-70.1396664869997
38.90025,-70.1396664869997
38.90475,-70.1396664869997
38.90925,-70.1396664869997
38.91375,-70.1396664869997
38.91825,-70.1396664869997
38.92275,-70.1396664869997
38.92725,-70.1396664869997
38.93175,-70.1396664869997
38.93625,-70.1396664869997
38.94075,-70.1396664869997
38.94525,-70.1396664869997
38.94975,-70.1396664869997
38.95425,-70.1396664869997
38.95875,-70.1396664869997
38.96325,-70.1396664869997
38.96775,-70.1396664869997
38.97225,-70.1396664869997
38.97675,-70.1396664869997
38.98125,-70.1396664869997
38.98575,-70.1396664869997
38.99025,-70.1396664869997
38.99475,-70.1396664869997
38.99925,-70.1396664869997
39.00375,-70.1396664869997
39.00825,-70.1396664869997
39.01275,-70.1396664869997
39.01725,-70.1396664869997
39.02175,-70.1396664869997
39.02625,-70.1396664869997
39.03075,-70.1396664869997
39.03525,-70.1396664869997
39.03975,-70.1396664869997
39.04425,-70.1396664869997
39.04875,-70.1396664869997
39.05325,-70.1396664869997
38.82825,-70.1441664869997
38.83275,-70.1441664869997
38.83725,-70.1441664869997
38.84175,-70.1441664869997
38.84625,-70.1441664869997
38.85075,-70.1441664869997
38.85525,-70.1441664869997
38.85975,-70.1441664869997
38.86425,-70.1441664869997
38.86875,-70.1441664869997
38.87325,-70.1441664869997
38.87775,-70.1441664869997
38.88225,-70.1441664869997
38.88675,-70.1441664869997
38.89125,-70.1441664869997
38.89575,-70.1441664869997
38.90025,-70.1441664869997
38.90475,-70.1441664869997
38.90925,-70.1441664869997
38.91375,-70.1441664869997
38.91825,-70.1441664869997
38.92275,-70.1441664869997
38.92725,-70.1441664869997
38.93175,-70.1441664869997
38.93625,-70.1441664869997
38.94075,-70.1441664869997
38.94525,-70.1441664869997
38.94975,-70.1441664869997
38.95425,-70.1441664869997
38.95875,-70.1441664869997
38.96325,-70.1441664869997
38.96775,-70.1441664869997
38.97225,-70.1441664869997
38.97675,-70.1441664869997
38.98125,-70.1441664869997
38.98575,-70.1441664869997
38.99025,-70.1441664869997
38.99475,-70.1441664869997
38.99925,-70.1441664869997
39.00375,-70.1441664869997
39.00825,-70.1441664869997
39.01275,-70.1441664869997
39.01725,-70.1441664869997
39.02175,-70.1441664869997
39.02625,-70.1441664869997
39.03075,-70.1441664869997
39.03525,-70.1441664869997
39.03975,-70.1441664869997
39.04425,-70.1441664869997
39.04875,-70.1441664869997
39.05325,-70.1441664869997
39.05775,-70.1441664869997
39.06225,-70.1441664869997
39.06675,-70.1441664869997
39.07125,-70.1441664869997
39.07575,-70.1441664869997
39.08025,-70.1441664869997
39.08475,-70.1441664869997
39.08925,-70.1441664869997
38.82825,-70.1486664869997
38.83275,-70.1486664869997
38.83725,-70.1486664869997
38.84175,-70.1486664869997
38.84625,-70.1486664869997
38.85075,-70.1486664869997
38.85525,-70.1486664869997
38.85975,-70.1486664869997
38.86425,-70.1486664869997
38.86875,-70.1486664869997
38.87325,-70.1486664869997
38.87775,-70.1486664869997
38.88225,-70.1486664869997
38.88675,-70.1486664869997
38.89125,-70.1486664869997
38.89575,-70.1486664869997
38.90025,-70.1486664869997
38.90475,-70.1486664869997
38.90925,-70.1486664869997
38.91375,-70.1486664869997
38.91825,-70.1486664869997
38.92275,-70.1486664869997
38.92725,-70.1486664869997
38.93175,-70.1486664869997
38.93625,-70.1486664869997
38.94075,-70.1486664869997
38.94525,-70.1486664869997
38.94975,-70.1486664869997
38.95425,-70.1486664869997
38.95875,-70.1486664869997
38.96325,-70.1486664869997
38.96775,-70.1486664869997
38.97225,-70.1486664869997
38.97675,-70.1486664869997
38.98125,-70.1486664869997
38.98575,-70.1486664869997
38.99025,-70.1486664869997
38.99475,-70.1486664869997
38.99925,-70.1486664869997
39.00375,-70.1486664869997
39.00825,-70.1486664869997
39.01275,-70.1486664869997
39.01725,-70.1486664869997
39.02175,-70.1486664869997
39.02625,-70.1486664869997
39.03075,-70.1486664869997
39.03525,-70.1486664869997
39.03975,-70.1486664869997
39.04425,-70.1486664869997
39.04875,-70.1486664869997
39.05325,-70.1486664869997
39.05775,-70.1486664869997
39.06225,-70.1486664869997
39.06675,-70.1486664869997
39.07125,-70.1486664869997
39.07575,-70.1486664869997
39.08025,-70.1486664869997
39.08475,-70.1486664869997
39.08925,-70.1486664869997
39.09375,-70.1486664869997
39.09825,-70.1486664869997
39.10275,-70.1486664869997
39.10725,-70.1486664869997
39.11175,-70.1486664869997
39.11625,-70.1486664869997
39.12075,-70.1486664869997
38.82825,-70.1531664869997
38.83275,-70.1531664869997
38.83725,-70.1531664869997
38.84175,-70.1531664869997
38.84625,-70.1531664869997
38.85075,-70.1531664869997
38.85525,-70.1531664869997
38.85975,-70.1531664869997
38.86425,-70.1531664869997
38.86875,-70.1531664869997
38.87325,-70.1531664869997
38.87775,-70.1531664869997
38.88225,-70.1531664869997
38.88675,-70.1531664869997
38.89125,-70.1531664869997
38.89575,-70.1531664869997
38.90025,-70.1531664869997
38.90475,-70.1531664869997
38.90925,-70.1531664869997
38.91375,-70.1531664869997
38.91825,-70.1531664869997
38.92275,-70.1531664869997
38.92725,-70.1531664869997
38.93175,-70.1531664869997
38.93625,-70.1531664869997
38.94075,-70.1531664869997
