lon,lat,forcing_csv,strain_csv,rho_csv,flow_speed,flow_dir
38.78,-70.08,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Force/cfm_forcing_38.780_-70.080.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Strain/cfm_strain_inputs_38.780_-70.080.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Rho/cfm_rho_inputs_38.780_-70.080.csv,2110.7369613064307,88.49468994140625
39.41,-70.28,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Force/cfm_forcing_39.410_-70.280.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Strain/cfm_strain_inputs_39.410_-70.280.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Rho/cfm_rho_inputs_39.410_-70.280.csv,1141.6595598151575,109.99786376953125
38.82,-70.07,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Force/cfm_forcing_38.820_-70.070.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Strain/cfm_strain_inputs_38.820_-70.070.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Rho/cfm_rho_inputs_38.820_-70.070.csv,1.740671758752527,-19.120128631591797
39.04,-70.19,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Force/cfm_forcing_39.040_-70.190.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Strain/cfm_strain_inputs_39.040_-70.190.csv,/media/junsaito/E4308E2C308E05B0/JS_model/Output_shirase/Rho/cfm_rho_inputs_39.040_-70.190.csv,2220.4300882614198,103.77420043945312
